location_id,year,month,rainfall_mm,drought_index,flood_risk
TAMIL NADU,1912,7,34.8,,
TAMIL NADU,1912,8,74.2,,
TAMIL NADU,1912,9,126.7,,
TAMIL NADU,1912,10,244.2,,
TAMIL NADU,1912,11,259.3,,
TAMIL NADU,1912,12,23.9,,
TAMIL NADU,1913,1,2.9,,
TAMIL NADU,1913,2,3.2,,
TAMIL NADU,1913,3,6.6,,
TAMIL NADU,1913,4,21.0,,
TAMIL NADU,1913,5,64.6,,
TAMIL NADU,1913,6,29.7,,
TAMIL NADU,1913,7,58.7,,
TAMIL NADU,1913,8,62.3,,
TAMIL NADU,1913,9,124.8,,
TAMIL NADU,1913,10,203.4,,
TAMIL NADU,1913,11,184.1,,
TAMIL NADU,1913,12,117.7,,
TAMIL NADU,1914,1,5.7,,
TAMIL NADU,1914,2,1.9,,
TAMIL NADU,1914,3,5.6,,
TAMIL NADU,1914,4,34.6,,
TAMIL NADU,1914,5,57.1,,
TAMIL NADU,1914,6,37.9,,
TAMIL NADU,1914,7,37.6,,
TAMIL NADU,1914,8,98.4,,
TAMIL NADU,1914,9,132.2,,
TAMIL NADU,1914,10,281.2,,
TAMIL NADU,1914,11,129.1,,
TAMIL NADU,1914,12,132.0,,
TAMIL NADU,1915,1,35.1,,
TAMIL NADU,1915,2,18.1,,
TAMIL NADU,1915,3,43.6,,
TAMIL NADU,1915,4,37.0,,
TAMIL NADU,1915,5,52.4,,
TAMIL NADU,1915,6,66.4,,
TAMIL NADU,1915,7,117.7,,
TAMIL NADU,1915,8,82.9,,
TAMIL NADU,1915,9,133.0,,
TAMIL NADU,1915,10,99.9,,
TAMIL NADU,1915,11,241.0,,
TAMIL NADU,1915,12,61.5,,
TAMIL NADU,1916,1,0.1,,
TAMIL NADU,1916,2,3.2,,
TAMIL NADU,1916,3,3.1,,
TAMIL NADU,1916,4,19.2,,
TAMIL NADU,1916,5,61.1,,
TAMIL NADU,1916,6,34.5,,
TAMIL NADU,1916,7,168.6,,
TAMIL NADU,1916,8,125.5,,
TAMIL NADU,1916,9,94.7,,
TAMIL NADU,1916,10,208.6,,
TAMIL NADU,1916,11,145.7,,
TAMIL NADU,1916,12,33.2,,
TAMIL NADU,1917,1,14.3,,
TAMIL NADU,1917,2,39.1,,
TAMIL NADU,1917,3,32.3,,
TAMIL NADU,1917,4,11.9,,
TAMIL NADU,1917,5,77.5,,
TAMIL NADU,1917,6,72.4,,
TAMIL NADU,1917,7,45.1,,
TAMIL NADU,1917,8,155.7,,
TAMIL NADU,1917,9,163.5,,
TAMIL NADU,1917,10,123.1,,
TAMIL NADU,1917,11,167.5,,
TAMIL NADU,1917,12,45.9,,
TAMIL NADU,1918,1,80.9,,
TAMIL NADU,1918,2,5.4,,
TAMIL NADU,1918,3,25.9,,
TAMIL NADU,1918,4,9.9,,
TAMIL NADU,1918,5,81.8,,
TAMIL NADU,1918,6,36.2,,
TAMIL NADU,1918,7,40.8,,
TAMIL NADU,1918,8,58.6,,
TAMIL NADU,1918,9,47.0,,
TAMIL NADU,1918,10,81.8,,
TAMIL NADU,1918,11,315.1,,
TAMIL NADU,1918,12,88.4,,
TAMIL NADU,1919,1,22.9,,
TAMIL NADU,1919,2,0.8,,
TAMIL NADU,1919,3,16.2,,
TAMIL NADU,1919,4,25.0,,
TAMIL NADU,1919,5,88.5,,
TAMIL NADU,1919,6,49.9,,
TAMIL NADU,1919,7,87.8,,
TAMIL NADU,1919,8,51.6,,
TAMIL NADU,1919,9,162.7,,
TAMIL NADU,1919,10,152.4,,
TAMIL NADU,1919,11,264.4,,
TAMIL NADU,1919,12,106.4,,
TAMIL NADU,1920,1,135.9,,
TAMIL NADU,1920,2,3.1,,
TAMIL NADU,1920,3,3.7,,
TAMIL NADU,1920,4,67.3,,
TAMIL NADU,1920,5,59.6,,
TAMIL NADU,1920,6,47.3,,
TAMIL NADU,1920,7,37.3,,
TAMIL NADU,1920,8,74.8,,
TAMIL NADU,1920,9,156.3,,
TAMIL NADU,1920,10,159.4,,
TAMIL NADU,1920,11,404.9,,
TAMIL NADU,1920,12,4.7,,
TAMIL NADU,1921,1,141.2,,
TAMIL NADU,1921,2,0.0,,
TAMIL NADU,1921,3,1.7,,
TAMIL NADU,1921,4,72.3,,
TAMIL NADU,1921,5,39.5,,
TAMIL NADU,1921,6,55.7,,
TAMIL NADU,1921,7,92.5,,
TAMIL NADU,1921,8,129.6,,
TAMIL NADU,1921,9,78.3,,
TAMIL NADU,1921,10,236.4,,
TAMIL NADU,1921,11,76.0,,
TAMIL NADU,1921,12,56.1,,
TAMIL NADU,1922,1,41.9,,
TAMIL NADU,1922,2,18.1,,
TAMIL NADU,1922,3,2.5,,
TAMIL NADU,1922,4,34.9,,
TAMIL NADU,1922,5,100.1,,
TAMIL NADU,1922,6,48.8,,
TAMIL NADU,1922,7,45.4,,
TAMIL NADU,1922,8,87.1,,
TAMIL NADU,1922,9,75.3,,
TAMIL NADU,1922,10,262.8,,
TAMIL NADU,1922,11,291.8,,
TAMIL NADU,1922,12,71.6,,
TAMIL NADU,1923,1,136.0,,
TAMIL NADU,1923,2,2.5,,
TAMIL NADU,1923,3,50.1,,
TAMIL NADU,1923,4,26.6,,
TAMIL NADU,1923,5,30.8,,
TAMIL NADU,1923,6,33.7,,
TAMIL NADU,1923,7,40.5,,
TAMIL NADU,1923,8,39.8,,
TAMIL NADU,1923,9,99.8,,
TAMIL NADU,1923,10,220.3,,
TAMIL NADU,1923,11,44.3,,
TAMIL NADU,1923,12,109.7,,
TAMIL NADU,1924,1,29.7,,
TAMIL NADU,1924,2,0.7,,
TAMIL NADU,1924,3,31.3,,
TAMIL NADU,1924,4,30.2,,
TAMIL NADU,1924,5,75.4,,
TAMIL NADU,1924,6,54.9,,
TAMIL NADU,1924,7,113.9,,
TAMIL NADU,1924,8,87.1,,
TAMIL NADU,1924,9,170.8,,
TAMIL NADU,1924,10,107.1,,
TAMIL NADU,1924,11,163.5,,
TAMIL NADU,1924,12,30.6,,
TAMIL NADU,1925,1,17.6,,
TAMIL NADU,1925,2,4.6,,
TAMIL NADU,1925,3,57.2,,
TAMIL NADU,1925,4,30.1,,
TAMIL NADU,1925,5,85.0,,
TAMIL NADU,1925,6,50.6,,
TAMIL NADU,1925,7,38.7,,
TAMIL NADU,1925,8,91.7,,
TAMIL NADU,1925,9,77.3,,
TAMIL NADU,1925,10,148.9,,
TAMIL NADU,1925,11,229.0,,
TAMIL NADU,1925,12,182.8,,
TAMIL NADU,1926,1,88.0,,
TAMIL NADU,1926,2,2.2,,
TAMIL NADU,1926,3,30.4,,
TAMIL NADU,1926,4,41.4,,
TAMIL NADU,1926,5,53.7,,
TAMIL NADU,1926,6,38.7,,
TAMIL NADU,1926,7,73.8,,
TAMIL NADU,1926,8,70.5,,
TAMIL NADU,1926,9,120.2,,
TAMIL NADU,1926,10,151.5,,
TAMIL NADU,1926,11,119.2,,
TAMIL NADU,1926,12,26.1,,
TAMIL NADU,1927,1,18.0,,
TAMIL NADU,1927,2,21.6,,
TAMIL NADU,1927,3,17.2,,
TAMIL NADU,1927,4,50.7,,
TAMIL NADU,1927,5,73.7,,
TAMIL NADU,1927,6,83.1,,
TAMIL NADU,1927,7,65.9,,
TAMIL NADU,1927,8,77.8,,
TAMIL NADU,1927,9,131.0,,
TAMIL NADU,1927,10,87.2,,
TAMIL NADU,1927,11,171.3,,
TAMIL NADU,1927,12,32.5,,
TAMIL NADU,1928,1,21.0,,
TAMIL NADU,1928,2,54.9,,
TAMIL NADU,1928,3,24.0,,
TAMIL NADU,1928,4,56.9,,
TAMIL NADU,1928,5,51.0,,
TAMIL NADU,1928,6,41.1,,
TAMIL NADU,1928,7,75.5,,
TAMIL NADU,1928,8,95.2,,
TAMIL NADU,1928,9,59.7,,
TAMIL NADU,1928,10,219.0,,
TAMIL NADU,1928,11,173.8,,
TAMIL NADU,1928,12,98.8,,
TAMIL NADU,1929,1,20.4,,
TAMIL NADU,1929,2,29.2,,
TAMIL NADU,1929,3,9.4,,
TAMIL NADU,1929,4,107.3,,
TAMIL NADU,1929,5,50.7,,
TAMIL NADU,1929,6,63.2,,
TAMIL NADU,1929,7,48.9,,
TAMIL NADU,1929,8,70.7,,
TAMIL NADU,1929,9,135.1,,
TAMIL NADU,1929,10,161.2,,
TAMIL NADU,1929,11,192.0,,
TAMIL NADU,1929,12,89.6,,
TAMIL NADU,1930,1,53.6,,
TAMIL NADU,1930,2,60.3,,
TAMIL NADU,1930,3,21.4,,
TAMIL NADU,1930,4,34.4,,
TAMIL NADU,1930,5,165.7,,
TAMIL NADU,1930,6,68.9,,
TAMIL NADU,1930,7,38.9,,
TAMIL NADU,1930,8,66.7,,
TAMIL NADU,1930,9,94.2,,
TAMIL NADU,1930,10,436.1,,
TAMIL NADU,1930,11,186.5,,
TAMIL NADU,1930,12,48.7,,
TAMIL NADU,1931,1,22.7,,
TAMIL NADU,1931,2,0.0,,
TAMIL NADU,1931,3,3.3,,
TAMIL NADU,1931,4,55.6,,
TAMIL NADU,1931,5,54.2,,
TAMIL NADU,1931,6,40.8,,
TAMIL NADU,1931,7,77.3,,
TAMIL NADU,1931,8,81.7,,
TAMIL NADU,1931,9,104.7,,
TAMIL NADU,1931,10,120.3,,
TAMIL NADU,1931,11,183.4,,
TAMIL NADU,1931,12,295.8,,
TAMIL NADU,1932,1,0.7,,
TAMIL NADU,1932,2,31.9,,
TAMIL NADU,1932,3,7.3,,
TAMIL NADU,1932,4,62.9,,
TAMIL NADU,1932,5,109.6,,
TAMIL NADU,1932,6,43.0,,
TAMIL NADU,1932,7,56.5,,
TAMIL NADU,1932,8,163.5,,
TAMIL NADU,1932,9,61.6,,
TAMIL NADU,1932,10,247.4,,
TAMIL NADU,1932,11,246.9,,
TAMIL NADU,1932,12,78.5,,
TAMIL NADU,1933,1,2.7,,
TAMIL NADU,1933,2,5.0,,
TAMIL NADU,1933,3,41.2,,
TAMIL NADU,1933,4,52.5,,
TAMIL NADU,1933,5,105.3,,
TAMIL NADU,1933,6,36.9,,
TAMIL NADU,1933,7,60.7,,
TAMIL NADU,1933,8,169.9,,
TAMIL NADU,1933,9,104.5,,
TAMIL NADU,1933,10,201.8,,
TAMIL NADU,1933,11,124.5,,
TAMIL NADU,1933,12,105.9,,
TAMIL NADU,1934,1,99.8,,
TAMIL NADU,1934,2,0.1,,
TAMIL NADU,1934,3,11.6,,
TAMIL NADU,1934,4,34.6,,
TAMIL NADU,1934,5,49.6,,
TAMIL NADU,1934,6,73.5,,
TAMIL NADU,1934,7,57.5,,
TAMIL NADU,1934,8,56.4,,
TAMIL NADU,1934,9,38.1,,
TAMIL NADU,1934,10,303.4,,
TAMIL NADU,1934,11,99.2,,
TAMIL NADU,1934,12,15.9,,
TAMIL NADU,1935,1,37.5,,
TAMIL NADU,1935,2,2.5,,
TAMIL NADU,1935,3,9.3,,
TAMIL NADU,1935,4,63.9,,
TAMIL NADU,1935,5,23.7,,
TAMIL NADU,1935,6,60.0,,
TAMIL NADU,1935,7,38.6,,
TAMIL NADU,1935,8,153.4,,
TAMIL NADU,1935,9,78.6,,
TAMIL NADU,1935,10,192.4,,
TAMIL NADU,1935,11,147.6,,
TAMIL NADU,1935,12,86.3,,
TAMIL NADU,1936,1,1.9,,
TAMIL NADU,1936,2,51.1,,
TAMIL NADU,1936,3,55.3,,
TAMIL NADU,1936,4,35.7,,
TAMIL NADU,1936,5,74.4,,
TAMIL NADU,1936,6,56.3,,
TAMIL NADU,1936,7,85.5,,
TAMIL NADU,1936,8,59.4,,
TAMIL NADU,1936,9,122.0,,
TAMIL NADU,1936,10,103.7,,
TAMIL NADU,1936,11,234.5,,
TAMIL NADU,1936,12,64.7,,
TAMIL NADU,1937,1,10.7,,
TAMIL NADU,1937,2,16.7,,
TAMIL NADU,1937,3,26.7,,
TAMIL NADU,1937,4,96.1,,
TAMIL NADU,1937,5,59.9,,
TAMIL NADU,1937,6,42.3,,
TAMIL NADU,1937,7,51.1,,
TAMIL NADU,1937,8,118.1,,
TAMIL NADU,1937,9,105.7,,
TAMIL NADU,1937,10,189.8,,
TAMIL NADU,1937,11,280.1,,
TAMIL NADU,1937,12,22.8,,
TAMIL NADU,1938,1,1.2,,
TAMIL NADU,1938,2,52.1,,
TAMIL NADU,1938,3,34.8,,
TAMIL NADU,1938,4,44.5,,
TAMIL NADU,1938,5,54.3,,
TAMIL NADU,1938,6,53.0,,
TAMIL NADU,1938,7,101.4,,
TAMIL NADU,1938,8,146.3,,
TAMIL NADU,1938,9,116.8,,
TAMIL NADU,1938,10,87.5,,
TAMIL NADU,1938,11,39.3,,
TAMIL NADU,1938,12,51.8,,
TAMIL NADU,1939,1,31.1,,
TAMIL NADU,1939,2,5.0,,
TAMIL NADU,1939,3,26.0,,
TAMIL NADU,1939,4,132.1,,
TAMIL NADU,1939,5,60.0,,
TAMIL NADU,1939,6,60.4,,
TAMIL NADU,1939,7,35.1,,
TAMIL NADU,1939,8,91.3,,
TAMIL NADU,1939,9,96.2,,
TAMIL NADU,1939,10,243.8,,
TAMIL NADU,1939,11,266.2,,
TAMIL NADU,1939,12,8.6,,
TAMIL NADU,1940,1,0.9,,
TAMIL NADU,1940,2,0.7,,
TAMIL NADU,1940,3,12.6,,
TAMIL NADU,1940,4,82.8,,
TAMIL NADU,1940,5,131.5,,
TAMIL NADU,1940,6,85.2,,
TAMIL NADU,1940,7,59.0,,
TAMIL NADU,1940,8,69.4,,
TAMIL NADU,1940,9,121.2,,
TAMIL NADU,1940,10,152.0,,
TAMIL NADU,1940,11,367.8,,
TAMIL NADU,1940,12,95.4,,
TAMIL NADU,1941,1,31.7,,
TAMIL NADU,1941,2,4.4,,
TAMIL NADU,1941,3,1.4,,
TAMIL NADU,1941,4,58.6,,
TAMIL NADU,1941,5,70.9,,
TAMIL NADU,1941,6,47.1,,
TAMIL NADU,1941,7,69.6,,
